osm_id,osm_name_street,osm_nodes
24252044,Bellido,3
24252048,Los Angeles,4
24252049,Garcia Calderon,4
24252056,General Borgoño,4
24252064,Teruel,4
24252072,Andalucia,5
24252074,ASUNCION,1
24252077,Santander,4
24252082,Santa Maria,3
24252085,Santa Maria,1
24252086,Herrera,2
24252088,Daniel Alcides Carrion,2
24252092,Enrique Meiggs,2
24252095,Angamos Este,3
24252105,Arica,14
24252106,Carrion,1
24252111,Larco Herrera,1
24252115,E. de Harbich,2
24252120,Lino Alarco,2
24252166,Francisco Pardo y Aliaga,5
24252169,General Iglesias,8
24252172,Almirante Lord Cochrane,6
24252176,Francisco Pardo y Aliaga,7
24252183,De la Torre Gonzales,4
24252187,ALBERTO ARCA PARRO,3
24252211,San Alejandro,1
24252252,Esquilache,3
24252255,Gervasio Santillana,4
24252258,Chumblongo,3
24252259,Tello,3
24252261,Jose Payan,1
24252268,Coronel Inclan,1
24252274,Domingo Orue,4
24252276,Domingo Orue,1
24252279,Domingo Orue,1
24252291,General Suarez,16
24252299,Domingo Orue,7
24252307,Av. Aramburú,10
24252309,Av. Aramburú,1
24252315,Av. Aramburú,6
24252316,Av. Aramburú,1
24252353,Recavarren,8
24252372,Ca. Schell,8
24252389,Paseo de la Republica,1
24252390,Av Ricardo Palma,1
24252391,Av Ricardo Palma,1
24252394,Av Ricardo Palma,1
24252395,Av Ricardo Palma,4
24252422,Salaverry,15
24252441,Junin,14
24252442,Lizardo Montero,11
24252452,Santa Rosa,13
24252454,Dante,14
24252457,Junin,1
24252467,Velarde,13
24252470,Portocarrero,4
24252472,Morococha,2
24252478,Recavarren,6
24252513,San Lorenzo,1
24252517,Carmen,13
24252520,San Augustin,11
24252524,Gonzales Prada,11
24252525,Leoncio Prado,5
24252526,Leoncio Prado,5
24252529,San Diego,7
24252544,Leoncio Prado,4
24252546,Inca,3
24252562,Inca,10
24252565,San Miguel,14
24252583,Gonzales Prada,1
24252584,Gonzales Prada,1
24252586,Paseo de la República,21
24252591,Caceres,6
24252608,Angamos Este,1
24252610,Angamos Este,12
24252615,Angamos Este,1
24252674,Vidal,3
24252758,Cipriano Aguero,1
24252759,Piura,1
24252761,Piura,9
24252765,General Borgoño,1
24252777,Jr. Huallaga,16
24252780,Jr. Ica,3
24252786,Antonio Miró Quesada,7
24252788,Jr. Azagaro,14
24252800,Carabaya,1
24252801,Jr. Camaná,10
24252802,Jr. Cailloma,8
24252803,Jr. Rufino Torrico,10
24252809,Teniente Enrique Palacios,5
24252810,Torre Tagle,1
24252811,Piura,7
24252812,Rosario,4
24252814,Rosario,3
24252815,Chacltana,3
24252816,Torre Tagle,6
24252817,José Pardo,11
24252819,Berlin,5
24252821,Bellavista,5
24252822,Libertad,2
24252823,Camino,2
24252824,Henry Revett,3
24252825,Libertad,2
24252826,Roma,3
24252827,Roma,3
24252829,Comandante Juan G Moore,2
24252832,Cmdte. Juan G Moore,2
24252833,Manual A. Segura,2
24252834,Calero,1
24252835,Tupac Amaru,3
24252838,Almirante Carbajal,3
24252839,Gonzales Vigil,1
24252846,José Pardo,3
24252847,Figuaredo,3
24252848,Figuaredo,1
